sample_id,height,width,pixel_acc,miou
bordeaux_t1,517,461,0.5846553409667823,0.4961140319296726
bordeaux_t2,517,461,0.5657367509031329,0.41969788230310967
montpellier_t1,426,451,0.6279056452536357,0.46525629982761574
montpellier_t2,426,451,0.696157729823137,0.45838115629159
nantes_t1,522,582,0.6775815986622954,0.48440744870317015
nantes_t2,522,582,0.7674290002764941,0.5170080948635717
pisa_t1,776,718,0.6425171582000402,0.48964284157158194
pisa_t2,776,718,0.8030055566723143,0.5294482080804349
valencia_t1,458,476,0.39872848702799896,0.29068665867899873
valencia_t2,458,476,0.5710937213313273,0.43315472626389373
