sample_id,height,width,pixel_acc,miou
bordeaux_t1,517,461,0.5820413951673471,0.5115203410964231
bordeaux_t2,517,461,0.5566781490074978,0.40618519103860456
montpellier_t1,426,451,0.6261828175259986,0.4807421737272879
montpellier_t2,426,451,0.6869970748363053,0.4729174299692065
nantes_t1,522,582,0.6618642282524259,0.4653922148405883
nantes_t2,522,582,0.7699075719872023,0.5197191714677936
pisa_t1,776,718,0.6898475863653333,0.523000933430451
pisa_t2,776,718,0.7712251959911552,0.5183492029089436
valencia_t1,458,476,0.46139132508898756,0.3301630816036356
valencia_t2,458,476,0.5525255953909948,0.4339487234003931
